name,Facies,bed_count,total_thickness,mean_thickness,min_thickness,max_thickness,mean_grainsize,min_grainsize,max_grainsize,thickness_list,section_total_thickness
DancingDutchSandwich,13,15,5.647600000000001,0.3765066666666667,0.03200000000000003,2.1918000000000006,3.5495243098485565,3.06,4.3,"[0.064, 0.032, 0.112, 0.064, 0.064, 0.048, 0.048, 0.032, 0.08, 1.0719, 0.448, 0.272, 0.368, 2.1918, 0.7519]",96.41
DancingDutchSandwich,14,50,20.414699999999993,0.4082939999999999,0.031999999999996476,2.3198000000000003,2.8242915600769503,2.45,2.92,"[2.3198, 0.4159, 0.352, 1.0559, 0.512, 0.112, 0.096, 0.288, 0.624, 0.2719, 0.08, 0.064, 0.064, 0.096, 0.224, 0.9919, 0.736, 0.352, 0.7519, 0.176, 0.672, 0.064, 0.064, 0.048, 0.336, 0.112, 0.8319, 0.048, 0.08, 0.064, 0.2239, 2.1599, 0.128, 0.448, 0.08, 0.576, 0.6719, 0.064, 0.048, 0.128, 0.048, 0.752, 0.304, 0.5279, 0.496, 0.032, 0.032, 1.4079, 0.048, 0.336]",96.41
DancingDutchSandwich,15,9,1.8878000000000021,0.2097555555555558,0.03200000000000003,0.4800000000000004,2.8508888888888886,2.76,2.9,"[0.3199, 0.288, 0.1119, 0.032, 0.16, 0.48, 0.16, 0.112, 0.224]",96.41
DancingDutchSandwich,16,2,0.35200000000000015,0.17600000000000005,0.1280000000000001,0.224,3.57125,3.22,3.75,"[0.224, 0.128]",96.41
EagleNest,4,2,1.746,0.873,0.5126,1.2334,4.35044439935065,3.83,4.85,"[1.2334, 0.5126]",15.97
EagleNest,5,8,13.0867,1.6358375,0.09609999999999985,7.768800000000001,4.133539517784621,2.86,4.89,"[0.5606, 0.881, 0.1601, 0.0961, 0.4806, 0.3363, 2.8032, 7.7688]",15.97
EagleNest,10,1,0.06400000000000006,0.06400000000000006,0.06400000000000006,0.06400000000000006,4.1899999999999995,4.18,4.2,[0.064],15.97
EagleNest,11,1,0.1761999999999997,0.1761999999999997,0.1761999999999997,0.1761999999999997,3.3645454545454543,3.31,3.39,[0.1762],15.97
EagleNest,14,4,0.817,0.20425,0.08009999999999984,0.3044000000000002,2.8415789473684208,2.68,2.92,"[0.1282, 0.3044, 0.3043, 0.0801]",15.97
EagleNest,15,1,0.08009999999999984,0.08009999999999984,0.08009999999999984,0.08009999999999984,2.892,2.88,2.9,[0.0801],15.97
FBc2,4,10,3.8442999999999987,0.3844299999999999,0.11169999999999902,0.7497000000000007,4.2508720873226,3.27,4.68,"[0.335, 0.4466, 0.4626, 0.3828, 0.1117, 0.2233, 0.5105, 0.3669, 0.7497, 0.2552]",22.474
FBc2,5,18,6.1566999999999945,0.34203888888888856,0.06380000000000052,0.7018000000000004,4.134474896919341,2.91,4.58,"[0.3349, 0.5902, 0.0638, 0.0957, 0.1276, 0.5104, 0.1755, 0.622, 0.0957, 0.7018, 0.3509, 0.2871, 0.3987, 0.4307, 0.3509, 0.319, 0.1754, 0.5264]",22.474
FBc2,6,11,7.8157,0.7105181818181818,0.12760000000000016,1.914,4.2579293053704115,2.5,4.62,"[1.914, 0.3828, 0.8773, 0.4785, 0.1276, 1.308, 1.3877, 0.303, 0.3509, 0.3509, 0.335]",22.474
